Ward_code,Band_A,Band_B,Band_C,Band_D,Band_E,Band_F,Band_G,Band_H
E05006546,1554.31,1813.37,2072.42,2331.47,2849.57,3367.68,3885.78,4662.94
E05006557,1571.88,1833.87,2095.85,2357.83,2881.79,3405.75,3929.71,4715.66
